GB_ACC,logFC,P.Value,adj.P.Val,direction,Gene_Symbol
AW571709,0.0804345105986779,0.55612951114015,0.686587869425287,ns,DDX11
AW629478,-0.0804297422296285,0.810116786944618,0.876376355526585,ns,NA
NM_014364,-0.0804141468465875,1.34392143864683e-10,1.28313953721712e-08,ns,GAPDHS
BC039684,-0.0804129434450345,0.0596491929646192,0.141303954861488,ns,NA
NM_020979,0.0804108993434705,0.783113072916999,0.856974196513768,ns,SH2B2
BF111298,0.0804065375710108,0.687930308811903,0.788373475084345,ns,WTIP
AI798924,-0.0803986934284815,0.563877800865364,0.69314527637211,ns,NA
AK057798,-0.080397430974799,0.289905249206106,0.442226562060585,ns,NA
NM_014799,0.0803788733345865,0.884461152254051,0.927955486441299,ns,HEPH
AK021501,0.0803528102818536,0.125063037389212,0.242570858434387,ns,BBIP1
AL049000,-0.0803300441378827,0.272426523725739,0.423392992038525,ns,RIMS4
AI242054,-0.0803275199549383,0.0455047036036119,0.115117119599039,ns,NA
M14087,-0.0803171231187223,0.189767909622357,0.327057398643202,ns,NA
BF446127,-0.0803141426353711,0.527700796767183,0.663645567336781,ns,NA
AF161502,0.0803071749799553,0.786146719991544,0.859415440114936,ns,UBE2J1
AI812030,-0.08029100713923,1.0803571324182e-09,5.62991832755299e-08,ns,THBS1
NM_004610,-0.0802822793772791,0.0303093214130414,0.0852096659286745,ns,TCP10
AL122039,0.0802702294591233,0.175537477871362,0.30960478042544,ns,NA
AW510778,-0.0802696081406267,0.396393060119821,0.548861979421018,ns,RP11-474D1.2
NM_003838,-0.0802612006970342,0.714142212385532,0.807500127228536,ns,FPGT
BC005863,-0.0802563340225184,0.418880675803519,0.569155548545594,ns,RPLP0
D81792,-0.0802405235093953,0.389619190589814,0.542646966634742,ns,PKNOX2
BC038391,0.0802350608644433,0.425169577445129,0.575302547831095,ns,LCE1E
AK026149,-0.080230751261487,2.6252416330504e-06,3.43736085604847e-05,ns,TUSC3
AL519192,-0.080230546108309,0.665429008534571,0.771425299690049,ns,SNHG16
BF973568,-0.0802298277731603,0.874811922565652,0.921507582239935,ns,SELM
NM_005036,0.0802257168678842,3.25913749933202e-06,4.14318613247253e-05,ns,PPARA
NM_007178,0.0802176104454926,0.564374268934647,0.693502250369112,ns,STRAP
AI823917,0.0802023605097162,0.832165362696612,0.891835533525973,ns,INO80D
NM_014612,-0.0801958848385453,0.807883204394335,0.874755649343507,ns,FAM120A
AW501195,0.080191639770554,0.000279413142900741,0.00190269201661324,ns,FBXW2
BF317081,0.0801841051714556,0.165004546494117,0.296242259695691,ns,NXPE3
AF032110,-0.0801773949192253,0.00653323566953738,0.0264002663426152,ns,HCG8
BC033344,0.0801749782058216,3.59863095867476e-05,0.000327806439064936,ns,LOC101928597
BG911806,-0.0801712677348876,0.572902310309672,0.70036069913019,ns,SAMD14
NM_006308,0.0801710571489951,0.594993114725622,0.717425628121573,ns,HSPB3
AI800419,-0.0801611272223788,0.428841751121413,0.578522702220531,ns,NBPF10
AI143137,-0.0801463016954989,0.259864430422663,0.409994977283631,ns,NA
NM_020234,-0.0801428912964131,0.749371921051322,0.832901512625688,ns,DTWD1
AW452631,-0.0801360129448945,0.190487971025558,0.327881956193731,ns,RP11-2E11.9
AK096944,-0.080132921551153,0.0325282737674785,0.0897386651476713,ns,DNHD1
BF511285,0.0801275903577003,2.38867263611327e-06,3.17789473023275e-05,ns,DGUOK
R49644,0.0801275861707107,0.010983757668844,0.0395944526447904,ns,SCN8A
NM_006294,0.0801176941424746,0.567420510568342,0.695818351850216,ns,UQCRB
AK022531,-0.0801085193118478,0.556170604820825,0.686604096251718,ns,DEDD
R56794,-0.0801077539182495,0.612118525802503,0.731069806671159,ns,YAF2
BC004108,-0.0800946902953412,0.00758651273429101,0.0297495670250474,ns,IGSF8
BC022568,-0.0800895877437691,1.40893682095427e-06,2.01166710072615e-05,ns,NA
AI018564,-0.0800843691221642,0.235639125596697,0.382151731736077,ns,TGM7
AL049699,-0.0800772561251879,0.772237591105016,0.849054025668751,ns,RWDD2A
AK024362,-0.0800628598388204,0.170662198939167,0.303575489240594,ns,SPACA6P
BC030799,-0.0800612122443276,0.0648972462044051,0.150415197850918,ns,NA
NM_003751,0.0800563858659302,0.78059517315802,0.855340529950482,ns,EIF3B
AU146808,-0.0800540034569401,0.907061252829696,0.94267052713203,ns,COL3A1
AI336924,0.0800509226053263,0.0839174760352162,0.18169865276578,ns,DCN
AI057637,0.0800467138213814,0.742082768404138,0.827798648450819,ns,ACACB
AB051550,-0.080045663655087,0.0328579606838065,0.0904426090834496,ns,CNTNAP4
AI539426,0.0800412677774824,0.394195852809908,0.546970657524518,ns,NA
BC005369,0.0800263977237252,0.78637183793767,0.859558577052818,ns,EGLN1
AI800670,0.0800102061701997,0.347910458955626,0.50212563147314,ns,FKBP15
AI761713,0.079994296281249,0.360390731669924,0.514159326768275,ns,MMP11
BC012859,-0.0799815358730012,0.448718986258955,0.59597485339041,ns,GDA
BG426581,0.0799731084132267,0.0980442192820208,0.203584323293906,ns,AGAP6
NM_003991,0.079960420949218,0.5100846757878,0.648854130827082,ns,EDNRB
AK001717,0.0799303224446088,0.617374589675751,0.735048304778625,ns,IWS1
NM_017691,0.0799258885257128,0.814409067477889,0.879404562314089,ns,LRRC49
NM_012448,-0.0799126560020937,0.321942500684448,0.475954787089677,ns,STAT5B
NM_018007,-0.0799066431676456,0.00438630818062114,0.019110446642861,ns,FBXO4
BE910071,0.0798789731523426,0.126044736739963,0.243937815215976,ns,FAM199X
AA948096,0.0798756849793985,0.000992535926635563,0.0056014637347678,ns,HFE2
BE675843,-0.0798743666898769,0.588268814082422,0.711895338772925,ns,KDM2A
AI936559,-0.079873589752697,0.117406874292921,0.231837929846307,ns,ARMC3
NM_001654,-0.0798628702569335,0.780091942852832,0.854901498475373,ns,ARAF
AJ488204,-0.0798599009687497,0.000216849554614152,0.00152889294166572,ns,NAV2
AK094069,-0.0798562796478808,0.411667643604484,0.562862204145199,ns,CEP68
AL045800,0.0798519662613417,0.768906396246227,0.846768443201621,ns,GIGYF2
AK058065,0.0798186885196701,0.00455825389834842,0.0197587046710455,ns,LOC100128840
BE219716,0.0798094665636588,0.790424957498359,0.862542539730333,ns,MLLT10
AA777270,0.0798036040947721,0.288255863654625,0.44062129091385,ns,NA
AI627453,-0.0797995252442814,0.066058252567833,0.152484861891334,ns,CADM1
AW584011,-0.0797958787506512,0.154888055229683,0.282882575421599,ns,CTRB2
AI082085,0.0797948240385029,0.1244548548209,0.241691664402739,ns,AK097119
AF308298,0.0797874283726281,7.1792272441015e-05,0.000592891482658574,ns,ERGIC3
AK024662,-0.0797663168234748,5.10244797452846e-05,0.000442950232447819,ns,NA
NM_018214,-0.079759440940018,0.688252855309961,0.788678037539419,ns,LRRC1
BF994345,0.0797538357421415,0.300671303433802,0.454359764649426,ns,ARID5B
AI821777,-0.0797475735649176,0.776027713759941,0.851763601735869,ns,NFASC
AI760942,0.0797327511483896,0.558110427909591,0.688177841986554,ns,NA
AW964006,-0.0797090170268788,0.00202452442561264,0.0101697344054436,ns,CYP3A5
